Qty;;Value;Device;Package;Parts;Description;AVAILABILITY;BOM;COMMENT;DESCRIPTION;EU_ROHS_COMPLIANCE;LABEL;MF;MP;PACKAGE;POPULARITY;PRICE;PROD_ID;PURCHASE-URL;SPICEPREFIX
3;https://ozdisan.com/guc-yari-iletkenleri/transistor/discrete-transistorler/BC846B-HT;;TRANSISTORBC846BLT1SOT23-BEC;SOT23-BEC;T1, T2, T3;NPN Transistror;;;;;;;;;;0;;;;
1;https://ozdisan.com/entegre-devreler-ics/guc-entegreleri/lineer-voltaj-regulatorleri/LM1117IMP-ADJNOPB;1;LM1117_V_REGULATORSOT223;SOT223;U2;Voltage Regulator LM1117;;;;;;;;;;;;VREG-08170;;
1;https://www.ozdisan.com/konnektor-ve-baglanti-elemanlari/header-konnektorler/pin-headerlar/DS1004-1X4F14;1;PINHD-1X4;1X04;JP5;PIN HEADER;;;;;;;;;;91;;;;
1;https://www.ozdisan.com/connectors-and-interconnects/headers/pin-headers/L-KLS1-207-2-04-S/479018;1;PINHD-2X2;2X02;JP4;PIN HEADER;;;;;;;;;;0;;;;
6;https://www.ozdisan.com/passive-components/resistors/smt-smd-and-chip-resistors/RC0603JR-07100RL/534975;100R;RC-MASTER-SMD_RESISTOR0603MP;RC-MASTER-SMD_R0603MP;R4, R11, R12, R14, R15, R16;RESISTOR;;;;;;;;;;;;;;R
1;https://www.ozdisan.com/passive-components/resistors/smt-smd-and-chip-resistors/RC0603JR-07100KL/497416;100k;RC-MASTER-SMD_RESISTOR0603MP;RC-MASTER-SMD_R0603MP;R5;RESISTOR;;;;;;;;;;;;;;R
5;https://www.ozdisan.com/passive-components/resistors/smt-smd-and-chip-resistors/RC0603JR-07100KL/497416;100k;RC-MASTER-SMD_RESISTOR0603MP;RC-MASTER-SMD_R0603MP;R6, R7, R8, R9, R10;RESISTOR;;;;;;;;;;;;;;W
5;https://www.ozdisan.com/pasif-komponentler/kondansatorler/smd-kondansatorler-mlcc/CL10B104KB8NNNC;100nF;CAP_0603;CAPC1608X90;C9, C10, C11, C12, C13;Cap Ceramic 390pF 25V X7R 10% SMD 0603 125°C Paper T/R Check prices;Warning;;; 0603 390 pF 25 V ±10% Tolerance X7R SMT Multilayer Ceramic Capacitor ;;;AVX;06033C391KAT4A;0603 AVX;;None;;https://pricing.snapeda.com/search/part/06033C391KAT4A/?ref=eda;C
2;https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0603SAJ0103T5E;10k;R-EU_R0603;R0603;R18, R19;RESISTOR, European symbol;;;;;;;;;;70;;;;R
2;https://www.ozdisan.com/passive-components/capacitors/smt-smd-and-mlcc-capacitors/CL21A106KPFNNNE/336384;10uF;CAP_0603;CAPC1608X90;C3, C4;Cap Ceramic 390pF 25V X7R 10% SMD 0603 125°C Paper T/R Check prices;Warning;;; 0603 390 pF 25 V ±10% Tolerance X7R SMT Multilayer Ceramic Capacitor ;;;AVX;06033C391KAT4A;0603 AVX;;None;;https://pricing.snapeda.com/search/part/06033C391KAT4A/?ref=eda;C
1;https://www.ozdisan.com/pasif-komponentler/kondansatorler/smd-kondansatorler-mlcc/CL21B105KBFNNNE;1uf;C-EUC0805;C0805;C15;CAPACITOR, European symbol;;;;;;;;;;88;;;;C
1;https://www.ozdisan.com/passive-components/resistors/smt-smd-and-chip-resistors/ACR0603T330J/731669;330R;RC-MASTER-SMD_RESISTOR0603MP;RC-MASTER-SMD_R0603MP;R13;RESISTOR;;;;;;;;;;;;;;R
1;https://www.direnc.net/9-dof-absolute-orientation-imu-fusion-breakout-bno055-adafruit;BNO055_ADAFRUIT;BNO055_ADAFRUIT;1X06_ROUND_76;U$2;;;;;;;;;;;;;;;
1;https://ozdisan.com/kablosuz-cozumleri/rf-moduller/wifi-modulleri/ESP32-WROOM-32E-16MB;ESP32-WROOM;ESP32-WROOM;ESP32-WROOM;U$7;;;;;;;;;;;;;;;
5;kablo ile;FLEX_CONNECTOR;FLEX_CONNECTOR;FLEX_CONNECTOR;F1, F2, F3, F4, F5;2 Pin Male Connector for Flex Sensor (2.54mm);;;;;;;;;;;;;;
1;https://www.robotistan.com/5mm-transparent-rgb-common-cathode;LED-DIP-3;LED-DIP-3;DIP-4;LED1;RGB DIP LED;;;;;;;;;;;;;;
1;https://ozdisan.com/integrated-circuits-ics/linear-ics/amplifiers/LM324MXNOPB/993228;LM324;LM324M;SOIC127P600X175-14N;U4;Check prices;Good;;; Low power general-purpose quad operational amplifier 14-SOIC 0 to 70 ;;;Texas Instruments;LM324M;SOIC-14 Texas Instruments;;None;;https://pricing.snapeda.com/search/part/LM324M/?ref=eda;X
1;https://ozdisan.com/electromechanical-components/switches/slide-switches/SSL-12F20-G4/431597;ON-OFF SWITCH;BUTTONS;TE_5-146293-3;J6;Check prices;Good;;5-146293-3; Connector Header Through Hole 3 position 0.100 (2.54mm) ;Compliant;;TE Connectivity;5-146293-3;None;;None;;https://pricing.snapeda.com/search/part/5-146293-3/?ref=eda;J
1;https://ozdisan.com/entegre-devreler-ics/lineer-entegreler/amplifikatorler/TLC272CDR;TLC272CD;TLC272CD;SOIC127P599X175-8N;U5;Check prices;Good;;; Dual Single Supply Operational Amplifier 8-SOIC 0 to 70 ;;;Texas Instruments;TLC272CD;SOIC-8 Texas Instruments;;None;;https://pricing.snapeda.com/search/part/TLC272CD/?ref=eda;
