"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"BOM";"CAPACITANCE";"CATEGORY";"CENTERLINE_PITCH";"CHECK_PRICES";"COMMENT";"CUI_PURCHASE_URL";"DESCRIPTION";"DOCUMENTATION_LINK";"DOCUMENTATION_URL";"ESR";"EU_ROHS_COMPLIANCE";"FAMILY";"FEATURES";"HEIGHT-SEATED";"LABEL";"LEAD_SPACING";"MANUFACTURER";"MANUFACTURER_SIZE_CODE";"MF";"MOUNTING_TYPE";"MP";"NUMBER_OF_POSITIONS";"OPERATING_TEMPERATURE";"PACKAGE";"PART_NUMBER";"POPULARITY";"PRICE";"PRODUCT_TYPE";"PURCHASE-URL";"SERIES";"SIZE";"SNAPEDA_LINK";"SPICEPREFIX";"SUPPLIER_ITEM_INFO";"SUPPLIER_ITEM_LINK";"SUPPLIER_ITEM_NUMBER";"SUPPLIER_ITEM_URL";"SUPPLIER_LINK";"SUPPLIER_NAME";"SUPPLIER_URL";"TE_PURCHASE_URL";"TOLERANCE";"TYPE";"VOLTAGE-RATED";
"3";"";"LED5MM";"LED5MM";"LED2, LED3, LED4";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"TRANSISTORBC846BLT1SOT23-BEC";"SOT23-BEC";"T6, T7, T8";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"+12V";"2,54/0,8";"2,54/0,8";"+12V";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"-12V";"2,54/0,8";"2,54/0,8";"-12V";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"-5V";"2,54/0,8";"2,54/0,8";"-5V";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.22R";"R-EU_R2512";"R2512";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";"";
"1";"1";"PINHD-1X4";"1X04";"JP5";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1";"PINHD-2X2";"2X02";"JP4";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1-216093-4";"1-216093-4";"TE_1-216093-4";"ADC_IN, EMG_CONNECTION, MOTOR";"";"Unavailable";"";"";"";"2.54 mm[.1 in]";"";"1-216093-4";"";" Conn IDC Connector PL 14 POS 2.54mm IDT RA Cable Mount Loose Piece ";"";"";"";"Compliant";"";"";"";"";"";"";"";"TE Connectivity";"";"1-216093-4";"14";"";"None";"";"";"None";"Connector";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.te.com/usa-en/product-1-216093-4.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493";"";"";"";
"6";"100R";"RC-MASTER-SMD_RESISTOR0603MP";"RC-MASTER-SMD_R0603MP";"R1, R11, R12, R14, R15, R16";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";"";
